artist_name,track_id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,energy_scaled,valence_scaled,tempo_scaled,danceability_scaled,loudness_scaled
Arley Perez,2OvntCk5DGRkIAXiJLzcol,El Cigarro De Hoja,0.307,0.612,201160,0.5429999999999999,0.0,5,0.0527,-5.55,1,0.0383,159.532,3,0.642,21,-0.09692651623997303,0.7795703350096455,1.3308751011232705,0.1674115353877502,0.6796534319513617
Soulkids,3lXzns5Z9Zemu1KUq3Xm6R,Give It All Away - Radio Edit,0.557,0.639,200000,0.603,0.0,1,0.161,-5.645,0,0.048,120.12,4,0.283,2,0.13285895860235744,-0.6051750108800459,0.02660038694128325,0.3093890147801412,0.6651778527707343
Marlo,2ANs1dFvaeZ6s3tfddpBs2,Good Dope,0.181,0.8240000000000001,134933,0.5589999999999999,0.0,0,0.0923,-8.711,1,0.366,129.866,4,0.298,31,-0.03565038961535157,-0.5473165702439863,0.34912807811193325,1.282197669876153,0.19799758153069355
Dani J,4M1sjlIBYj9c8zJuBQ5xCX,La Última Noche,0.363,0.593,242090,0.758,0.0,8,0.2339999999999999,-5.93,0,0.038,139.79399999999998,4,0.826,47,0.7264714352783774,1.4893005401453088,0.6776787571538171,0.0675014572968084,0.6217511152288518
Johann Sebastian Bach,7DKvSYD7JIJL02LecYNr5Q,"Sonate en trio en Sol Majeur, BWV 1038: IV. Presto",0.7959999999999999,0.521,87493,0.3779999999999999,0.0,6,0.245,-14.932,1,0.0335,104.867,4,0.8540000000000001,15,-0.7288365720563814,1.5973029626659536,-0.47817232734415893,-0.31110515441623365,-0.7499242930238703
Keith Jarrett,0w6BWAytSQFGUW5paTcKzd,Old Folks - Live,0.926,0.374,563320,0.165,0.7659999999999999,8,0.71,-23.307,1,0.0412,99.338,4,0.113,28,-1.5445750077466534,-1.260904004755387,-0.6611454039378923,-1.0840936533303618,-2.0260608786844507
KAMI,4BbjGAt4SL2kaBRh0b05oX,JLO,0.0334,0.611,186503,0.6859999999999999,0.0,8,0.151,-9.103,1,0.146,83.068,4,0.4029999999999999,18,0.4507288654675809,-0.1423074857915699,-1.1995740449543575,0.16215311022506906,0.1382667705958939
The Summer Kills,6dokwavfMiXTTJMfyODI12,Collide - Single Version,0.0107,0.432,273619,0.8909999999999999,0.256,0,0.0967,-5.434,1,0.0667,121.94,4,0.259,6,1.2358292378455424,-0.6977485158977409,0.086830265653635,-0.7791049938948555,0.6973288760034962
Robot Lullaby,0z9nXTXKr4Kt1iT3gV0Zdt,Travel Path,0.878,0.384,151200,0.26,0.688,9,0.0864,-9.605,1,0.0436,68.533,4,0.4589999999999999,48,-1.1807480059129638,0.07369735924971894,-1.680585741154377,-1.0315094017035502,0.061774762715104375
The Rock Music,7pRmP4USuIpnEpz1YNhTuf,Your Love Remains,0.00449,0.348,243013,0.484,8.950000000000001e-05,5,0.1159999999999999,-6.705,1,0.0282,81.042,4,0.0669,12,-0.32288223316826425,-1.4387222789768765,-1.2666211516967887,-1.2208127075600717,0.5036608640184697
St. Lucia,590BlRXa6rxy6pf9ZtSBZZ,A Brighter Love - Edit,0.057,0.7929999999999999,235747,0.574,0.0008359999999999,4,0.0864,-5.666,0,0.0338,114.014,4,0.4,32,0.02179597909523105,-0.1538791739187814,-0.17546754680466276,1.1191864898330368,0.661977987899227
Quavo,69PkhA9q3xCWU2CzoZnLAu,LOSE IT (feat. Lil Baby),0.0161,0.962,237655,0.573,0.0,7,0.109,-5.924,1,0.308,125.035,4,0.728,74,0.017966221181192208,1.1112920613230532,0.18925415280458516,2.00786034232615,0.6226653623349966
Aramis Camilo,6mlAC07B08tW5DiGp7Il84,Susana,0.528,0.525,290456,0.755,0.00281,9,0.0301,-9.302,0,0.0306,120.783,4,0.8540000000000001,22,0.7149821615362609,1.5973029626659536,0.048541271329354214,-0.2900714537655091,0.10794424157542162
Lupo Prospero,5T0fuOcL2DCDxaMmIx9DW5,Thanking Freestyle,0.815,0.816,69433,0.52,7.23e-06,0,0.161,-8.459,1,0.107,129.961,4,0.54,0,-0.18501094826286596,0.3861329386844408,0.3522719454073582,1.240130268574703,0.23639595998877916
Chris Janson,7s5Sr1NJuKnlOMI2d4ruUC,It Is Christmas,0.826,0.364,167613,0.424,3.02e-06,2,0.104,-8.559,1,0.0295,141.678,4,0.188,16,-0.5526677080105945,-0.9716118015750893,0.7400266096230874,-1.1366779049571734,0.22115850821969765
Miniature Tigers,1xvTGgR7CC6newWwex0kqY,Lolita (Demo),0.201,0.44,287250,0.677,2.61e-06,4,0.147,-10.093,1,0.0347,146.458,4,0.59,16,0.4162610442412317,0.5789944074713057,0.898212774592891,-0.7370375925934063,-0.012584001918013569
TFH Worship,2iWfWtWDTBIwIfDWz5rKpx,Open Heavens (Live),0.0087599999999999,0.402,347167,0.605,0.0,6,0.0792,-7.485,0,0.0311,140.08,4,0.237,15,0.14051847443043514,-0.7826075621639617,0.6871434523800448,-0.9368577487752896,0.38480874021963346
Los Socios Del Ritmo,08XnTZpRnF14NfQi8gvhnQ,Para Amantes de Ocasión,0.3879999999999999,0.684,161427,0.635,0.0,5,0.216,-11.5,1,0.035,94.587,4,0.952,13,0.2554112118516004,1.9753114414882087,-0.8183718620490921,0.5460181471007929,-0.22697494830899112
Svalbard,19DcSthJMwQNwwREtsn2QX,Unpaid Intern,2.38e-06,0.12,242292,0.985,0.271,1,0.168,-4.913,0,0.111,160.957,4,0.129,2,1.5958264817651937,-1.19918833474359,1.3780331105546444,-2.419733644651372,0.7767159997204112
